-- Dummy data: 300 products
-- Run after subscription_management.sql. created_by = NULL (no user required).

SET FOREIGN_KEY_CHECKS=0;
INSERT INTO products (product_name, product_type, sales_price, cost_price, description, image_urls, short_description, terms_and_conditions, is_recurring, status, created_by) VALUES
  ('Dashboard Pro 15', 'Add-on', 48.49, 21.97, 'Full description for dummy product 15 (Add-on).', NULL, 'Short desc for product 15', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 16', 'License', 52.99, 24.55, 'Full description for dummy product 16 (License).', NULL, 'Short desc for product 16', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 17', 'Support', 57.49, 27.12, 'Full description for dummy product 17 (Support).', NULL, 'Short desc for product 17', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 18', 'SaaS', 61.99, 29.70, 'Full description for dummy product 18 (SaaS).', NULL, 'Short desc for product 18', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 19', 'Hardware', 66.49, 32.27, 'Full description for dummy product 19 (Hardware).', NULL, 'Short desc for product 19', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 20', 'Service', 70.99, 24.85, 'Full description for dummy product 20 (Service).', NULL, 'Short desc for product 20', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 21', 'Add-on', 50.99, 18.85, 'Full description for dummy product 21 (Add-on).', NULL, 'Short desc for product 21', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 22', 'License', 55.49, 21.42, 'Full description for dummy product 22 (License).', NULL, 'Short desc for product 22', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 23', 'Support', 59.99, 24.00, 'Full description for dummy product 23 (Support).', NULL, 'Short desc for product 23', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 24', 'SaaS', 64.49, 26.57, 'Full description for dummy product 24 (SaaS).', NULL, 'Short desc for product 24', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 25', 'Hardware', 68.99, 29.15, 'Full description for dummy product 25 (Hardware).', NULL, 'Short desc for product 25', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 26', 'Service', 73.49, 31.72, 'Full description for dummy product 26 (Service).', NULL, 'Short desc for product 26', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 27', 'Add-on', 77.99, 34.30, 'Full description for dummy product 27 (Add-on).', NULL, 'Short desc for product 27', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 28', 'License', 57.99, 28.30, 'Full description for dummy product 28 (License).', NULL, 'Short desc for product 28', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 29', 'Support', 62.49, 30.87, 'Full description for dummy product 29 (Support).', NULL, 'Short desc for product 29', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 30', 'SaaS', 66.99, 23.45, 'Full description for dummy product 30 (SaaS).', NULL, 'Short desc for product 30', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 31', 'Hardware', 71.49, 26.02, 'Full description for dummy product 31 (Hardware).', NULL, 'Short desc for product 31', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 32', 'Service', 75.99, 28.60, 'Full description for dummy product 32 (Service).', NULL, 'Short desc for product 32', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 33', 'Add-on', 80.49, 31.17, 'Full description for dummy product 33 (Add-on).', NULL, 'Short desc for product 33', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 34', 'License', 84.99, 33.75, 'Full description for dummy product 34 (License).', NULL, 'Short desc for product 34', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 35', 'Support', 64.99, 27.75, 'Full description for dummy product 35 (Support).', NULL, 'Short desc for product 35', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 36', 'SaaS', 69.49, 30.32, 'Full description for dummy product 36 (SaaS).', NULL, 'Short desc for product 36', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 37', 'Hardware', 73.99, 32.90, 'Full description for dummy product 37 (Hardware).', NULL, 'Short desc for product 37', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 38', 'Service', 78.49, 35.47, 'Full description for dummy product 38 (Service).', NULL, 'Short desc for product 38', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 39', 'Add-on', 82.99, 38.05, 'Full description for dummy product 39 (Add-on).', NULL, 'Short desc for product 39', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 40', 'License', 87.49, 30.62, 'Full description for dummy product 40 (License).', NULL, 'Short desc for product 40', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 41', 'Support', 91.99, 33.20, 'Full description for dummy product 41 (Support).', NULL, 'Short desc for product 41', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 42', 'SaaS', 71.99, 27.20, 'Full description for dummy product 42 (SaaS).', NULL, 'Short desc for product 42', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 43', 'Hardware', 76.49, 29.77, 'Full description for dummy product 43 (Hardware).', NULL, 'Short desc for product 43', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 44', 'Service', 80.99, 32.35, 'Full description for dummy product 44 (Service).', NULL, 'Short desc for product 44', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 45', 'Add-on', 85.49, 34.92, 'Full description for dummy product 45 (Add-on).', NULL, 'Short desc for product 45', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 46', 'License', 89.99, 37.50, 'Full description for dummy product 46 (License).', NULL, 'Short desc for product 46', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 47', 'Support', 94.49, 40.07, 'Full description for dummy product 47 (Support).', NULL, 'Short desc for product 47', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 48', 'SaaS', 98.99, 42.65, 'Full description for dummy product 48 (SaaS).', NULL, 'Short desc for product 48', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 49', 'Hardware', 78.99, 36.65, 'Full description for dummy product 49 (Hardware).', NULL, 'Short desc for product 49', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 50', 'Service', 83.49, 29.22, 'Full description for dummy product 50 (Service).', NULL, 'Short desc for product 50', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 51', 'Add-on', 87.99, 31.80, 'Full description for dummy product 51 (Add-on).', NULL, 'Short desc for product 51', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 52', 'License', 92.49, 34.37, 'Full description for dummy product 52 (License).', NULL, 'Short desc for product 52', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 53', 'Support', 96.99, 36.95, 'Full description for dummy product 53 (Support).', NULL, 'Short desc for product 53', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 54', 'SaaS', 101.49, 39.52, 'Full description for dummy product 54 (SaaS).', NULL, 'Short desc for product 54', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 55', 'Hardware', 105.99, 42.10, 'Full description for dummy product 55 (Hardware).', NULL, 'Short desc for product 55', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 56', 'Service', 85.99, 36.10, 'Full description for dummy product 56 (Service).', NULL, 'Short desc for product 56', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 57', 'Add-on', 90.49, 38.67, 'Full description for dummy product 57 (Add-on).', NULL, 'Short desc for product 57', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 58', 'License', 94.99, 41.25, 'Full description for dummy product 58 (License).', NULL, 'Short desc for product 58', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 59', 'Support', 99.49, 43.82, 'Full description for dummy product 59 (Support).', NULL, 'Short desc for product 59', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 60', 'SaaS', 103.99, 36.40, 'Full description for dummy product 60 (SaaS).', NULL, 'Short desc for product 60', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 61', 'Hardware', 108.49, 38.97, 'Full description for dummy product 61 (Hardware).', NULL, 'Short desc for product 61', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 62', 'Service', 112.99, 41.55, 'Full description for dummy product 62 (Service).', NULL, 'Short desc for product 62', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 63', 'Add-on', 92.99, 35.55, 'Full description for dummy product 63 (Add-on).', NULL, 'Short desc for product 63', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 64', 'License', 97.49, 38.12, 'Full description for dummy product 64 (License).', NULL, 'Short desc for product 64', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 65', 'Support', 101.99, 40.70, 'Full description for dummy product 65 (Support).', NULL, 'Short desc for product 65', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 66', 'SaaS', 106.49, 43.27, 'Full description for dummy product 66 (SaaS).', NULL, 'Short desc for product 66', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 67', 'Hardware', 110.99, 45.85, 'Full description for dummy product 67 (Hardware).', NULL, 'Short desc for product 67', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 68', 'Service', 115.49, 48.42, 'Full description for dummy product 68 (Service).', NULL, 'Short desc for product 68', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 69', 'Add-on', 119.99, 51.00, 'Full description for dummy product 69 (Add-on).', NULL, 'Short desc for product 69', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 70', 'License', 99.99, 35.00, 'Full description for dummy product 70 (License).', NULL, 'Short desc for product 70', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 71', 'Support', 104.49, 37.57, 'Full description for dummy product 71 (Support).', NULL, 'Short desc for product 71', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 72', 'SaaS', 108.99, 40.15, 'Full description for dummy product 72 (SaaS).', NULL, 'Short desc for product 72', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 73', 'Hardware', 113.49, 42.72, 'Full description for dummy product 73 (Hardware).', NULL, 'Short desc for product 73', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 74', 'Service', 117.99, 45.30, 'Full description for dummy product 74 (Service).', NULL, 'Short desc for product 74', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 75', 'Add-on', 122.49, 47.87, 'Full description for dummy product 75 (Add-on).', NULL, 'Short desc for product 75', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 76', 'License', 126.99, 50.45, 'Full description for dummy product 76 (License).', NULL, 'Short desc for product 76', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 77', 'Support', 106.99, 44.45, 'Full description for dummy product 77 (Support).', NULL, 'Short desc for product 77', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 78', 'SaaS', 111.49, 47.02, 'Full description for dummy product 78 (SaaS).', NULL, 'Short desc for product 78', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 79', 'Hardware', 115.99, 49.60, 'Full description for dummy product 79 (Hardware).', NULL, 'Short desc for product 79', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 80', 'Service', 120.49, 42.17, 'Full description for dummy product 80 (Service).', NULL, 'Short desc for product 80', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 81', 'Add-on', 124.99, 44.75, 'Full description for dummy product 81 (Add-on).', NULL, 'Short desc for product 81', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 82', 'License', 129.49, 47.32, 'Full description for dummy product 82 (License).', NULL, 'Short desc for product 82', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 83', 'Support', 133.99, 49.90, 'Full description for dummy product 83 (Support).', NULL, 'Short desc for product 83', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 84', 'SaaS', 113.99, 43.90, 'Full description for dummy product 84 (SaaS).', NULL, 'Short desc for product 84', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 85', 'Hardware', 118.49, 46.47, 'Full description for dummy product 85 (Hardware).', NULL, 'Short desc for product 85', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 86', 'Service', 122.99, 49.05, 'Full description for dummy product 86 (Service).', NULL, 'Short desc for product 86', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 87', 'Add-on', 127.49, 51.62, 'Full description for dummy product 87 (Add-on).', NULL, 'Short desc for product 87', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 88', 'License', 131.99, 54.20, 'Full description for dummy product 88 (License).', NULL, 'Short desc for product 88', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 89', 'Support', 136.49, 56.77, 'Full description for dummy product 89 (Support).', NULL, 'Short desc for product 89', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 90', 'SaaS', 140.99, 49.35, 'Full description for dummy product 90 (SaaS).', NULL, 'Short desc for product 90', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 91', 'Hardware', 120.99, 43.35, 'Full description for dummy product 91 (Hardware).', NULL, 'Short desc for product 91', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 92', 'Service', 125.49, 45.92, 'Full description for dummy product 92 (Service).', NULL, 'Short desc for product 92', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 93', 'Add-on', 129.99, 48.50, 'Full description for dummy product 93 (Add-on).', NULL, 'Short desc for product 93', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 94', 'License', 134.49, 51.07, 'Full description for dummy product 94 (License).', NULL, 'Short desc for product 94', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 95', 'Support', 138.99, 53.65, 'Full description for dummy product 95 (Support).', NULL, 'Short desc for product 95', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 96', 'SaaS', 143.49, 56.22, 'Full description for dummy product 96 (SaaS).', NULL, 'Short desc for product 96', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 97', 'Hardware', 147.99, 58.80, 'Full description for dummy product 97 (Hardware).', NULL, 'Short desc for product 97', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 98', 'Service', 127.99, 52.80, 'Full description for dummy product 98 (Service).', NULL, 'Short desc for product 98', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 99', 'Add-on', 132.49, 55.37, 'Full description for dummy product 99 (Add-on).', NULL, 'Short desc for product 99', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 100', 'License', 136.99, 47.95, 'Full description for dummy product 100 (License).', NULL, 'Short desc for product 100', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 101', 'Support', 141.49, 50.52, 'Full description for dummy product 101 (Support).', NULL, 'Short desc for product 101', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 102', 'SaaS', 145.99, 53.10, 'Full description for dummy product 102 (SaaS).', NULL, 'Short desc for product 102', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 103', 'Hardware', 150.49, 55.67, 'Full description for dummy product 103 (Hardware).', NULL, 'Short desc for product 103', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 104', 'Service', 154.99, 58.25, 'Full description for dummy product 104 (Service).', NULL, 'Short desc for product 104', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 105', 'Add-on', 134.99, 52.25, 'Full description for dummy product 105 (Add-on).', NULL, 'Short desc for product 105', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 106', 'License', 139.49, 54.82, 'Full description for dummy product 106 (License).', NULL, 'Short desc for product 106', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 107', 'Support', 143.99, 57.40, 'Full description for dummy product 107 (Support).', NULL, 'Short desc for product 107', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 108', 'SaaS', 148.49, 59.97, 'Full description for dummy product 108 (SaaS).', NULL, 'Short desc for product 108', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 109', 'Hardware', 152.99, 62.55, 'Full description for dummy product 109 (Hardware).', NULL, 'Short desc for product 109', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 110', 'Service', 157.49, 55.12, 'Full description for dummy product 110 (Service).', NULL, 'Short desc for product 110', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 111', 'Add-on', 161.99, 57.70, 'Full description for dummy product 111 (Add-on).', NULL, 'Short desc for product 111', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 112', 'License', 141.99, 51.70, 'Full description for dummy product 112 (License).', NULL, 'Short desc for product 112', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 113', 'Support', 146.49, 54.27, 'Full description for dummy product 113 (Support).', NULL, 'Short desc for product 113', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 114', 'SaaS', 150.99, 56.85, 'Full description for dummy product 114 (SaaS).', NULL, 'Short desc for product 114', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 115', 'Hardware', 155.49, 59.42, 'Full description for dummy product 115 (Hardware).', NULL, 'Short desc for product 115', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 116', 'Service', 159.99, 62.00, 'Full description for dummy product 116 (Service).', NULL, 'Short desc for product 116', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 117', 'Add-on', 164.49, 64.57, 'Full description for dummy product 117 (Add-on).', NULL, 'Short desc for product 117', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 118', 'License', 168.99, 67.15, 'Full description for dummy product 118 (License).', NULL, 'Short desc for product 118', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 119', 'Support', 148.99, 61.15, 'Full description for dummy product 119 (Support).', NULL, 'Short desc for product 119', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 120', 'SaaS', 153.49, 53.72, 'Full description for dummy product 120 (SaaS).', NULL, 'Short desc for product 120', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 121', 'Hardware', 157.99, 56.30, 'Full description for dummy product 121 (Hardware).', NULL, 'Short desc for product 121', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 122', 'Service', 162.49, 58.87, 'Full description for dummy product 122 (Service).', NULL, 'Short desc for product 122', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 123', 'Add-on', 166.99, 61.45, 'Full description for dummy product 123 (Add-on).', NULL, 'Short desc for product 123', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 124', 'License', 171.49, 64.02, 'Full description for dummy product 124 (License).', NULL, 'Short desc for product 124', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 125', 'Support', 175.99, 66.60, 'Full description for dummy product 125 (Support).', NULL, 'Short desc for product 125', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 126', 'SaaS', 155.99, 60.60, 'Full description for dummy product 126 (SaaS).', NULL, 'Short desc for product 126', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 127', 'Hardware', 160.49, 63.17, 'Full description for dummy product 127 (Hardware).', NULL, 'Short desc for product 127', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 128', 'Service', 164.99, 65.75, 'Full description for dummy product 128 (Service).', NULL, 'Short desc for product 128', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 129', 'Add-on', 169.49, 68.32, 'Full description for dummy product 129 (Add-on).', NULL, 'Short desc for product 129', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 130', 'License', 173.99, 60.90, 'Full description for dummy product 130 (License).', NULL, 'Short desc for product 130', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 131', 'Support', 178.49, 63.47, 'Full description for dummy product 131 (Support).', NULL, 'Short desc for product 131', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 132', 'SaaS', 182.99, 66.05, 'Full description for dummy product 132 (SaaS).', NULL, 'Short desc for product 132', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 133', 'Hardware', 162.99, 60.05, 'Full description for dummy product 133 (Hardware).', NULL, 'Short desc for product 133', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 134', 'Service', 167.49, 62.62, 'Full description for dummy product 134 (Service).', NULL, 'Short desc for product 134', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 135', 'Add-on', 171.99, 65.20, 'Full description for dummy product 135 (Add-on).', NULL, 'Short desc for product 135', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 136', 'License', 176.49, 67.77, 'Full description for dummy product 136 (License).', NULL, 'Short desc for product 136', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 137', 'Support', 180.99, 70.35, 'Full description for dummy product 137 (Support).', NULL, 'Short desc for product 137', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 138', 'SaaS', 185.49, 72.92, 'Full description for dummy product 138 (SaaS).', NULL, 'Short desc for product 138', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 139', 'Hardware', 189.99, 75.50, 'Full description for dummy product 139 (Hardware).', NULL, 'Short desc for product 139', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 140', 'Service', 169.99, 59.50, 'Full description for dummy product 140 (Service).', NULL, 'Short desc for product 140', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 141', 'Add-on', 174.49, 62.07, 'Full description for dummy product 141 (Add-on).', NULL, 'Short desc for product 141', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 142', 'License', 178.99, 64.65, 'Full description for dummy product 142 (License).', NULL, 'Short desc for product 142', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 143', 'Support', 183.49, 67.22, 'Full description for dummy product 143 (Support).', NULL, 'Short desc for product 143', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 144', 'SaaS', 187.99, 69.80, 'Full description for dummy product 144 (SaaS).', NULL, 'Short desc for product 144', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 145', 'Hardware', 192.49, 72.37, 'Full description for dummy product 145 (Hardware).', NULL, 'Short desc for product 145', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 146', 'Service', 196.99, 74.95, 'Full description for dummy product 146 (Service).', NULL, 'Short desc for product 146', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 147', 'Add-on', 176.99, 68.95, 'Full description for dummy product 147 (Add-on).', NULL, 'Short desc for product 147', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 148', 'License', 181.49, 71.52, 'Full description for dummy product 148 (License).', NULL, 'Short desc for product 148', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 149', 'Support', 185.99, 74.10, 'Full description for dummy product 149 (Support).', NULL, 'Short desc for product 149', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 150', 'SaaS', 190.49, 66.67, 'Full description for dummy product 150 (SaaS).', NULL, 'Short desc for product 150', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 151', 'Hardware', 194.99, 69.25, 'Full description for dummy product 151 (Hardware).', NULL, 'Short desc for product 151', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 152', 'Service', 199.49, 71.82, 'Full description for dummy product 152 (Service).', NULL, 'Short desc for product 152', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 153', 'Add-on', 203.99, 74.40, 'Full description for dummy product 153 (Add-on).', NULL, 'Short desc for product 153', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 154', 'License', 183.99, 68.40, 'Full description for dummy product 154 (License).', NULL, 'Short desc for product 154', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 155', 'Support', 188.49, 70.97, 'Full description for dummy product 155 (Support).', NULL, 'Short desc for product 155', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 156', 'SaaS', 192.99, 73.55, 'Full description for dummy product 156 (SaaS).', NULL, 'Short desc for product 156', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 157', 'Hardware', 197.49, 76.12, 'Full description for dummy product 157 (Hardware).', NULL, 'Short desc for product 157', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 158', 'Service', 201.99, 78.70, 'Full description for dummy product 158 (Service).', NULL, 'Short desc for product 158', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 159', 'Add-on', 206.49, 81.27, 'Full description for dummy product 159 (Add-on).', NULL, 'Short desc for product 159', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 160', 'License', 210.99, 73.85, 'Full description for dummy product 160 (License).', NULL, 'Short desc for product 160', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 161', 'Support', 190.99, 67.85, 'Full description for dummy product 161 (Support).', NULL, 'Short desc for product 161', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 162', 'SaaS', 195.49, 70.42, 'Full description for dummy product 162 (SaaS).', NULL, 'Short desc for product 162', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 163', 'Hardware', 199.99, 73.00, 'Full description for dummy product 163 (Hardware).', NULL, 'Short desc for product 163', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 164', 'Service', 204.49, 75.57, 'Full description for dummy product 164 (Service).', NULL, 'Short desc for product 164', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 165', 'Add-on', 208.99, 78.15, 'Full description for dummy product 165 (Add-on).', NULL, 'Short desc for product 165', NULL, 1, 'ACTIVE', NULL),
